rpt_month,rpt_day,occur_month,occur_day,occur_time,location,victims,day_of_week,crime,neighborhood
12,31,12,30,23,JESSE HILL JR DR NE,2,Sat,LARCENY-FROM VEHICLE,Downtown
12,31,12,18,13,ATLANTIC DR NW,1,Unk,LARCENY-FROM VEHICLE,Home Park
12,31,12,30,22,PRYOR ST SW,1,Sat,LARCENY-FROM VEHICLE,Mechanicsville
12,31,12,30,20,NELSON ST SW,1,Sat,LARCENY-FROM VEHICLE,Castleberry Hill
12,31,12,31,0,CASCADE RD SW,2,Sun,LARCENY-FROM VEHICLE,Adams Park
12,31,12,30,23,GLENWOOD AVE SE,1,Sun,LARCENY-FROM VEHICLE,East Atlanta
12,31,12,31,1,CHEROKEE AVE SE,1,Sun,ROBBERY-PEDESTRIAN,Grant Park
12,31,12,31,0,PONCE DE LEON AVE NE,1,Sun,LARCENY-FROM VEHICLE,Old Fourth Ward
12,31,12,30,0,MEMORIAL DR SE,1,Sat,LARCENY-FROM VEHICLE,Grant Park
12,31,12,31,0,LINAM ST SE,1,Sun,BURGLARY-RESIDENCE,Peoplestown
12,31,12,31,0,PRYOR ST SW,1,Sun,AUTO THEFT,Mechanicsville
12,31,12,31,0,CHICAMAUGA AVE SW,1,Sun,LARCENY-FROM VEHICLE,Mozley Park
12,31,12,31,6,METROPOLITAN PKWY SW,1,Sun,BURGLARY-NONRES,Perkerson
12,31,12,31,6,MOURY AVE SW,2,Sun,ROBBERY-RESIDENCE,The Villages at Carver
12,31,12,31,7,ATLANTA AVE SE,1,Sun,AUTO THEFT,Peoplestown
12,31,12,30,16,BENT CREEK WAY SW,1,Sat,AUTO THEFT,Campbellton Road
12,31,12,31,9,AKRIDGE ST NW,1,Sun,LARCENY-FROM VEHICLE,Hunter Hills
12,31,12,31,5,JACKSON SQ NW,1,Sun,LARCENY-FROM VEHICLE,Lincoln Homes
12,31,12,31,9,LAKEWOOD AVE SE,1,Sun,LARCENY-NON VEHICLE,Lakewood Heights
12,31,12,30,16,PEACHTREE RD NE,1,Sun,LARCENY-FROM VEHICLE,North Buckhead
12,31,12,31,0,MAYSON AVE NE,1,Sun,LARCENY-FROM VEHICLE,Edgewood
12,31,12,31,10,PIEDMONT AVE NE @PUBLIX - PIEDMONT,1,Sun,LARCENY-NON VEHICLE,Old Fourth Ward
12,31,12,31,10,METROPOLITAN PKWY SW,1,Sun,LARCENY-NON VEHICLE,Sylvan Hills
12,31,12,31,11,SHARON ST NW,1,Sun,LARCENY-FROM VEHICLE,Hunter Hills
12,31,12,30,22,BALDWIN ST SW,4,Sun,LARCENY-FROM VEHICLE,Ashview Heights
12,31,12,31,11,16TH ST NW,2,Sun,LARCENY-FROM VEHICLE,Home Park
12,31,12,31,11,CHAPPELL RD NW,1,Sun,LARCENY-FROM VEHICLE,Grove Park
12,31,12,30,22,PEACHTREE CENTER AVE NE,1,Sun,LARCENY-FROM VEHICLE,Downtown
12,31,12,30,23,N FULTON DR NE,1,Sun,AUTO THEFT,Garden Hills
12,31,12,31,11,PEACHTREE RD NE,1,Sun,LARCENY-NON VEHICLE,Lenox
12,31,12,30,21,STOVALL ST SE,1,Sat,LARCENY-FROM VEHICLE,Ormewood Park
12,31,12,26,8,BEECHWOOD DR NW,1,Unk,BURGLARY-RESIDENCE,Mt. Paran/Northside
12,31,12,31,12,PEACHTREE RD NW,1,Sun,AUTO THEFT,
12,31,12,30,19,MONTAG CIR NE,1,Sun,LARCENY-FROM VEHICLE,Inman Park
12,31,12,31,12,BOLTON RD NW,1,Sun,AUTO THEFT,Atlanta Industrial Park
12,31,12,31,13,PEACHTREE RD NE @Multiple,1,Sun,LARCENY-NON VEHICLE,Lenox
12,31,12,30,23,KENMORE ST SW,1,Sun,BURGLARY-RESIDENCE,Cascade Avenue/Road
12,31,12,31,14,PRINCETON LAKES PKWY SW,1,Sun,AUTO THEFT,Princeton Lakes
12,31,12,30,21,COLQUITT AVE NE,1,Sun,LARCENY-FROM VEHICLE,Inman Park
12,31,12,31,14,ELLSWORTH INDUSTRIAL BLVD NW,1,Sun,AUTO THEFT,Underwood Hills
12,31,12,31,14,FAIRBURN RD SW,1,Sun,AGG ASSAULT,Fairburn Mays
12,31,12,31,13,JOHNSONS GROVE NW,1,Sun,LARCENY-FROM VEHICLE,Rockdale
12,31,12,30,17,MARTIN L KING JR DR SW,1,Sun,BURGLARY-NONRES,Harland Terrace
12,31,12,31,16,ELLSWORTH INDUSTRIAL BLVD NW,1,Sun,LARCENY-FROM VEHICLE,Blandtown
12,31,12,31,16,MACARTHUR BLVD NW,4,Sun,LARCENY-FROM VEHICLE,Bolton
12,31,12,24,12,DREW DR NW,1,Unk,LARCENY-NON VEHICLE,West Highlands
12,31,12,31,16,HARDEE ST NE,1,Sun,BURGLARY-RESIDENCE,Edgewood
12,31,12,31,13,JOHNSON RD NW,1,Sun,LARCENY-FROM VEHICLE,Rockdale
12,31,12,31,13,PEACHTREE ST NE,2,Sun,BURGLARY-NONRES,Brookwood Hills
12,31,12,31,14,FLAT SHOALS AVE SE,1,Sun,LARCENY-NON VEHICLE,East Atlanta
12,31,12,31,18,LAKEWOOD AVE SW,1,Sun,LARCENY-FROM VEHICLE,Sylvan Hills
12,31,12,31,15,PEACHTREE RD NE @PHIPPS PLAZA,1,Sun,LARCENY-FROM VEHICLE,North Buckhead
12,31,12,31,16,LARKIN ST SW,4,Sun,LARCENY-FROM VEHICLE,Castleberry Hill
12,31,12,31,14,PRYOR ST SW,1,Sun,AUTO THEFT,Mechanicsville
12,31,12,31,3,TED TURNER DR SW,3,Sun,LARCENY-FROM VEHICLE,Downtown
12,31,12,31,20,HOWELL MILL RD NW,1,Sun,AGG ASSAULT,Berkeley Park
12,31,12,31,19,PIEDMONT RD NE,1,Sun,LARCENY-FROM VEHICLE,North Buckhead
12,31,12,31,18,JACKSON ST NE,4,Sun,LARCENY-FROM VEHICLE,Sweet Auburn
12,31,12,31,7,METROPOLITAN PKWY SW,1,Sun,AUTO THEFT,Hammond Park
12,31,12,31,22,AMBER RD NW,1,Sun,ROBBERY-PEDESTRIAN,Carroll Heights
12,31,12,31,23,1510B MURPHY AVE SW,1,Sun,AGG ASSAULT,Sylvan Hills
12,31,12,31,22,NEW TOWN CIR SE,1,Sun,AGG ASSAULT,Thomasville Heights
12,31,12,31,23,JOHN WESLEY DOBBS AVE NE,1,Sun,AUTO THEFT,Old Fourth Ward
12,31,12,31,23,MOUNT ZION RD SE,1,Sun,BURGLARY-RESIDENCE,Glenrose Heights
12,31,12,31,23,NORTHSIDE DR SW,1,Sun,AGG ASSAULT,Atlanta University Center
12,31,12,30,22,MARTIN LUTHER KING JR DR NW,1,Sat,ROBBERY-PEDESTRIAN,Adamsville
12,30,12,30,20,CONCOURSE A @SPINE RD,1,Sat,LARCENY-NON VEHICLE,
12,30,12,25,18,HARTSFIELD CENTER PKWY,1,Unk,LARCENY-FROM VEHICLE,
12,30,12,29,2,CHAUMONT SQ NW,1,Fri,RAPE,Cross Creek
12,30,12,29,22,ASHBY GROVE,1,Fri,AGG ASSAULT,Ashview Heights
12,30,12,28,20,CAINS HILL PL NW,1,Unk,LARCENY-NON VEHICLE,South Tuxedo Park
12,30,12,30,0,CENTER ST NW,1,Sat,BURGLARY-RESIDENCE,Home Park
12,30,12,29,22,AUBURN AVENUE,3,Sat,LARCENY-FROM VEHICLE,Downtown
12,30,12,30,0,CAMERON M ALEXANDER BLVD NW,1,Sat,ROBBERY-PEDESTRIAN,English Avenue
12,30,12,29,22,MARIETTA ST NW,1,Fri,LARCENY-FROM VEHICLE,Marietta Street Artery
12,30,12,29,21,TRINITY AVE,1,Fri,LARCENY-FROM VEHICLE,Downtown
12,30,12,30,1,KING ARTHUR RD SW,1,Sat,LARCENY-FROM VEHICLE,Kings Forest
12,30,12,30,2,CRESCENT AVE,1,Sat,RAPE,Midtown
12,30,12,30,2,LOCKWOOD DR SW,1,Sat,BURGLARY-RESIDENCE,Venetian Hills
12,30,12,29,11,JACKSON ST SE,1,Fri,LARCENY-FROM VEHICLE,Sweet Auburn
12,30,12,30,2,MARTIN L KING JR DR NW,1,Sat,AGG ASSAULT,
12,30,12,30,0,WILLIAM H BORDERS DR SE,1,Sat,LARCENY-FROM VEHICLE,Sweet Auburn
12,30,12,30,4,STONE HOGAN CONNECTOR,1,Sat,ROBBERY-PEDESTRIAN,Greenbriar
12,30,12,29,18,ALBEMARLE DR NW,2,Fri,AUTO THEFT,Margaret Mitchell
12,30,12,28,0,NORTHSIDE DR SW,1,Unk,LARCENY-NON VEHICLE,Atlanta University Center
12,30,12,30,8,ELLSWORTH INDUSTRIAL BLVD NW,1,Sat,LARCENY-FROM VEHICLE,Blandtown
12,30,12,30,9,CLEVELAND AVE.,1,Sat,LARCENY-FROM VEHICLE,Perkerson
12,30,12,29,21,MAIN ST NW,1,Sat,AUTO THEFT,Riverside
12,30,12,30,1,CAINS HILL PL NW,0,Sat,LARCENY-NON VEHICLE,South Tuxedo Park
12,30,12,30,10,MCPHERSON AVE SE,2,Sat,ROBBERY-COMMERCIAL,East Atlanta
12,30,12,29,20,BOLTON RD NW,1,Sat,LARCENY-FROM VEHICLE,Bankhead/Bolton
12,30,12,29,23,TECHWOOD DR NW @COURTYARD BY MARRIOT,1,Sat,LARCENY-FROM VEHICLE,Home Park
12,30,12,29,11,FLAT SHOALS AVE SE,1,Fri,LARCENY-FROM VEHICLE,East Atlanta
12,30,12,30,11,DECKNER AVE SW @PERKERSON PARK,2,Sat,ROBBERY-PEDESTRIAN,Capitol View
12,30,12,30,11,MOROSGO WAY NE,1,Sat,LARCENY-NON VEHICLE,Lindbergh/Morosgo
12,30,12,30,12,CAROLINE ST NE @TARGET - CAROLINE,1,Sat,LARCENY-NON VEHICLE,Edgewood
12,30,12,30,3,PEACHTREE PARK DR NE,1,Sat,AUTO THEFT,
12,30,12,30,13,PEACHTREE RD NE,1,Sat,LARCENY-NON VEHICLE,
12,30,11,1,8,DONALD LEE HOLLOWELL PKWY NW,1,Unk,LARCENY-NON VEHICLE,Center Hill
12,30,12,30,14,CHAPPELL RD NW,1,Sat,LARCENY-NON VEHICLE,Grove Park
12,30,12,30,14,14TH ST NW,1,Sat,ROBBERY-PEDESTRIAN,Home Park
12,30,12,30,14,CAROLINE ST NE,1,Sat,LARCENY-NON VEHICLE,Edgewood
12,30,12,30,12,PEACHTREE RD NE @PHIPPS PLAZA,1,Sat,LARCENY-NON VEHICLE,North Buckhead
12,30,12,30,14,PEACHTREE RD NE,3,Sat,LARCENY-FROM VEHICLE,Lenox
12,30,12,29,13,MARIETTA ST NW @OMNI,1,Sat,AUTO THEFT,Downtown
12,30,12,30,16,10TH ST,1,Sat,LARCENY-FROM VEHICLE,
12,30,12,30,15,WILLIS MILL RD SW,1,Sat,AGG ASSAULT,Florida Heights
12,30,12,30,14,GLENWOOD AVE SE,1,Sat,ROBBERY-PEDESTRIAN,East Lake
12,30,12,30,15,HOWELL MILL RD NW,1,Sat,LARCENY-NON VEHICLE,Berkeley Park
12,30,12,30,17,WINDSOR ST SW,1,Sat,ROBBERY-PEDESTRIAN,Pittsburgh
12,30,12,30,16,GREENBRIAR PKWY SW @GREENBRIAR MALL,1,Sat,AUTO THEFT,Greenbriar
12,30,12,30,17,HOWELL MILL RD NW,2,Sat,LARCENY-FROM VEHICLE,Berkeley Park
12,30,12,30,18,HOWELL MILL RD NW,1,Sat,AUTO THEFT,Wildwood (NPU-C)
12,30,12,30,2,PHIPPS BLVD NE,1,Sat,LARCENY-FROM VEHICLE,North Buckhead
12,30,12,30,18,MORELAND AVE NE,1,Sat,LARCENY-NON VEHICLE,Reynoldstown
12,30,12,30,17,SILVER SPRINGS CIRCLE SW,2,Sat,LARCENY-FROM VEHICLE,Florida Heights
12,30,12,30,17,ESTORIA ST SE,2,Sat,LARCENY-FROM VEHICLE,Cabbagetown
12,30,12,30,20,MARTIN LUTHER KING,1,Sat,ROBBERY-PEDESTRIAN,Florida Heights
12,30,12,30,19,PEACHTREE RD NE,1,Sat,LARCENY-NON VEHICLE,Lenox
12,30,12,30,20,LANDRUM DR SW,1,Sat,ROBBERY-PEDESTRIAN,Southwest
12,30,12,30,21,FAIRBURN RD SW,1,Sat,AGG ASSAULT,
12,30,12,30,19,W PACES FERRY RD NW,1,Sat,LARCENY-FROM VEHICLE,West Paces Ferry/Northside
12,30,12,30,21,FULTON ST SW,2,Sat,AGG ASSAULT,Mechanicsville
12,30,12,30,20,LARKIN ST,3,Sat,LARCENY-FROM VEHICLE,Castleberry Hill
12,30,12,30,18,HOLLYWOOD RD NW,1,Sat,LARCENY-NON VEHICLE,Riverside
